No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
5015|Arc weld failure|Arc outage was detected.|Arc outage occurred during welding.|Eliminate all causes of arc outage, for instance by adjusting the wedling conditions, fixing wire feed failure, and so on.|This failure is released if restart playback.|A|A|A|A|on|on
5016|Arc weld failure|Wire stick has been detected.|Wire has stuck.|Cut stuck wire.|This failure is released if restart playback.|A|A|A|A|on|on
5017|Arc weld failure|Low gas pressure.|Low gas pressure signal is inputted.|Supply gas.|Error reset.|A|A|A|A|on|on
5018|Arc weld failure|Lack of wire was detected.|Wire not fed signal is inputted.|Supply wire.|Error reset.|A|A|A|A|on|on
5020|Arc weld failure|Lack of water was detected.|Cooling water signal is inputted.|Supply water.|Error reset.|A|A|A|A|on|on
5021|Arc weld failure|Arc welding characteristic data failure.|The registered welding characteristic data isn't for the connected welding power supply.|Register the welding characteristic data for the using one.|Error reset.|A|A|A|A|on|on
5022|Arc weld failure|Welding voltage adjustment method can't be changed while welding.|Welding voltage adjustment method has been changed from the synergetic control to the individual control, and vise versa while welding.|Modify the task program.|Error reset.|A|A|A|A|on|on
5023|Arc weld failure|Failure of the welding power supply occurred.|W.P.S failure signal is inputted, or failure of the welding power supply occurs.|Read through the welding power supply instruction manual and eliminate all causes.|Error reset.|A|A|A|A|on|on
5024|Arc weld failure|Input voltage shortage failure ocurred in the welding power supply.|The primary input voltage of the welding power supply has decreased.|Refer to the instruction manual of the welding power supply(Failure Name: Input voltage shortage) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5025|Arc weld failure|Output overcurrent occurred in the welding power supply.|The average current used for the inner control of the welding power supply exceeds the limit.|Refer to the instruction manual of the welding power supply (Failure Name: Output overcurrent) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5026|Arc weld failure|Thermal overload occurred in the welding power supply.|An internal temperature of the welding power supply rises.|Refer to the instruction manual of the welding power supply (Failure Name: Thermal overload) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5027|Arc weld failure|Input overvoltage occurred in the welding power supply.|The primary input voltage of the welding power supply exceeds the threshold.|Refer to the instruction manual of the welding power supply (Failure Name: Input overvoltage) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5028|Arc weld failure|Loss of phase occurred in the welding power supply.|Loss of phase in the primary input of the welding power supply.|Refer to the instruction manual of the welding power supply (Failure Name: Loss of phase) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5029|Arc weld failure|Inverter drive circuit failure occurred in the welding power supply.|The failure occurs around the inverter drive circuit of the welding power supply.|Refer to the instruction manual of the welding power supply (Failure Name: Inverter drive circuit error) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5030|Arc weld failure|Arc voltage detection failure occurred in the welding power supply.|Arc voltage detection failure or arc voltage detecting line failure occurred.|Refer to the instruction manual of the welding power supply (Failure Name: Arc voltage detecting line error/detection error) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5031|Arc weld failure|Microcomputer failure occurred in the welding power supply.|The failure occurs in the welding power supply.|Refer to the instruction manual of the welding power supply (Failure Name: Microcomputer failure) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5032|Arc weld failure|Encoder failure was detected by the welding power supply.|Failure exists in the encoder of a wire feed unit or encoder cables are not connected.|Refer to the instruction manual of the welding power supply (Failure Name: Encoder error) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5033|Arc weld failure|Current detection line failure occurred in the welding power supply.|The failure(the connector is disconnected etc) exists in the current detecting cable of the welding power supply.|Refer to the instruction manual of the welding power supply (Failure Name: 9. Current detection error).|Error reset.|A|A|A|A|on|on
5034|Arc weld failure|Gas check failure occurred in the welding power supply.|The gas check switch of the welding power supply is ON for more than two minutes without a break.|Turn OFF the gas check switch of the welding power supply.|Error reset.|A|A|A|A|on|on
5035|Arc weld failure|Secondaly transistor failure occurred in the welding power supply.|The surge power of the second transistor for the welding power supply is abnormally high.|Refer to the instruction manual of the welding power supply (Failure Name: Secondaly transistor failure) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5036|Arc weld failure|Water pressure failure occurred in the welding power supply.|Cooling water flow is not sufficient when using a water cooled torch.|Refer to the instruction manual of the welding power supply (Failure Name: Water pressure error) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5037|Arc weld failure|Secondaly transistor failure occurred in the welding power supply.|The surge power of the second transistor for the robot welding power supply is abnormally high.|Refer to the instruction manual of the welding power supply (Failure Name: Secondaly transistor failure) and eliminate all causes.|Error reset.|A|A|A|A|on|on
5038|Arc weld failure|The specified welding power supply can't use in this unit.|The specified welding power supply isn't defined in this unit.|Register the welding power supply which is specified by the task program, or modify the task program.|Error reset.|A|A|A|A|on|on
5039|Arc weld failure|A control power supply failure occurred in the welding power supply.|A control power supply failure occurred in welding power supply.|Refer to the instruction manual of the welding power supply (Failure Name: (The wire feed control board)Control power supply) and eliminate all causes.|Error reset.|A|A|A|A|on|on
